ledger_type,fiscal_year,description,account_descr,revenue_category,actual_amount,program_descr,fund_type,fund_descr
Revenue,2017,Other Revenue,RF-Vehicle Rentals,Sales of Commodities and Services,22277018.6,Non-Budgeted Operating Approp,Internal Service,Internal Service
Revenue,2017,Taxes,Emp Sec-Employers' Contr Tax,Miscellaneous,807554629.94,Non-Budgeted Operating Approp,Fiduciary,Other Trust Funds
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,301497,Advance Cancer Genomic,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,33290.93,SSBG Legal Services,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Other Fees-App/Exam/Qual,Licenses Permits and Fees,447156.98,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,23194,State Clean Diesel Program,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,2375704,Remediation Clean-Up Account,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Fee-Child Support Enforce Srvc,Licenses Permits and Fees,108765,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,92087,Storage (Groton) MILCON,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,220943,Crime Victim Compensation FFY1,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,4217979.47,Brd For St Acad Awrd Op Fund,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,15085,Ammunition Certificate,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,RF-Miscellaneous Income,Sales of Commodities and Services,13188.97,Non-Budgeted Operating Approp,Internal Service,Internal Service
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,3109177,Newborn Screening Receipts,Special Revenue,Special Revenue
Revenue,2016,Taxes,Oyster Grounds Tax,Miscellaneous,77253,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Grant Transfer Non-Fed-Restr,Non General Fund Revenue,941,CN FD Commodity Fees,Special Revenue,Special Revenue
Revenue,2017,Other Source,Operating Transfers Out,Transfers Out,-100000,Drug Asset Forfeit Rv Acct DCJ,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1398574,Wildlife Habitat Enhancement,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,6500,Vicarious Trauma  Part II,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,682622.8,Readiness Centers,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,13586,In-Service Training,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Health Insurance Contributions,Miscellaneous,120783448.34,OPEB HLTH INS EMPLOYEE CONTRI,Fiduciary,Pension (& Other) Trust
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,290841,Infrastructure Enhancements fo,Special Revenue,Special Revenue
Revenue,2016,Taxes,Taxes On Petroleum Companies,Oil Companies,249999996,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Taxes,Domestic Insurance Co Tax,Insurance Companies,42234573,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,161611,Culinary Arts Program,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,493677,Devlmt Disabilty Mental Health,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Investment Interest,Investment Income,1,Crim Violenc Victm Escrow Acct,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1381046,Independent Living Program,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Refunds - Educational Fees,Licenses Permits and Fees,-1147.85,Technical School Lunches,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,328722.85,EMERGING INFECTIONS PPHF,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Docks and Wharves,Licenses Permits and Fees,423068,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Other Source,Operating Transfers Out,Transfers Out,-528451,Drug Asset Forfeit Rv Acct DPS,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,772802,CDL Improvement Grant,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,E-NicotineDlvrySystmDlr/MfgFee,Licenses Permits and Fees,506300,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,20086.4,Geo & Natrl Hist Sale & Pblctn,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,34270461,CAPI GO BONDS 2016 A,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,254132.4,Oral Health Workforce,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,74396.56,Unemployment Loan Inter Assess,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,6283899.4,Brd For St Acad Awrd Op Fund,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Vessel Reg Licenses-Alternate,Licenses Permits and Fees,4686282.21,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Refunds of Processing Fee,Refunds of Payments,-84,Contributn/Donatn Bur Nat Res,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Retail Gasoline Dealer License,Licenses Permits and Fees,565341.24,Revenue Deposits,Transportation,Special Revenue
Revenue,2017,Taxes,Real Estate Conveyance Tax,Real Estate Conveyance,164001160.66,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,14034766.1,Small Cities Program,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,36079,Domstc Viol Sanc 13VWJUDSANCTI,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,IV-E and Non IV-E Programs,Sales of Commodities and Services,5832612,Revenue Deposits,General,General
Revenue,2017,Other Source,Operating Transfers Out,Transfers Out,-3400000,Probate Court Administration,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Pension Fund Contributions,Non General Fund Revenue,112098919,Teachers' Retirement System,Fiduciary,Pension (& Other) Trust
Revenue,2017,Other Revenue,Other Licenses - Commodities,Licenses Permits and Fees,9495,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,174786.09,Connect to Work SSA,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,50000,DOH Money Follows the Person,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Penalties-Consumer Credit,Rents Fines and Escheats,660262.82,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,26274,Court Reimbursements,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,151173.29,Community Invest Act-Admin,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,35545,Rocky Neck MU-MRI,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Real Estate Sale Agent License,Licenses Permits and Fees,4783319.59,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Capital Gains,Investment Income,145947,Conversion Value,Debt Service,Debt Service
Revenue,2017,Other Revenue,ESCHEATS - CORPORATE DIVIDENDS,Rents Fines and Escheats,69571.89,Revenue Deposits,General,General
Revenue,2016,Taxes,Nursing Home Provider Tax,Miscellaneous,145049474,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,2382,State Library Institutnal Acct,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Campaign Committee Contrib.,Federal Grants,92753,Citizen Election Fund Grants,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,55669,MOU DMV  MCSAP,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,114823,CT School Emergency Management,Special Revenue,Special Revenue
Revenue,2016,Other Source,Operating Transfers Out,Transfers Out,-4760,Drug Asset Forfeit Rv Acct MHA,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Treasurer Deposit Adjustment,Miscellaneous,184,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Investment Interest,Investment Income,308654,Conversion Value,Enterprise,Enterprise
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,719679,Assess Fish & Wildlife,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1163361,Drinkng Water Loan Prog Mngmnt,Special Revenue,Special Revenue
Revenue,2016,Other Source,Operating Transfers In,Transfers In,136869,Conversion Value,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,55967,Title 7 Elder Abuse Prevention,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,3781,Risk Management,Special Revenue,Special Revenue
Revenue,2017,Other Source,Operating Transfers Out,Transfers Out,-100000,Compulsive Gamblers Program,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Exp Recovered-Public Srvc Co,Miscellaneous,24867476,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Child Day Care Center Licenses,Licenses Permits and Fees,339635.06,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Pool Plan Review Fees-Resub,Licenses Permits and Fees,3200,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,79338324.07,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Recoveries-Attorney Fees,Miscellaneous,68,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,467396.24,Teacher Quality Partnership,Special Revenue,Special Revenue
Revenue,2016,Taxes,General Sales And Use Tax,Sales and Use,106945996,Revenue Deposits,Transportation,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,134171.26,CT Quitline Infrastructure Exp,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1423930,CT Commissn Nat Community Srvc,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,35876288.32,CDBG-Disaster Recovery,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,16987964.62,Child Care Food Program,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,42236,Supportive Employment Grant,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,2641596,Formula Grnts-Non Urban Areas,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,39156,Museum Enhancement Fund,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,186170,Connect to Work SSA,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,90000,Model Legal Assistance-Phase 2,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,217540,Anadromous Fish Enhancement,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,125661,State Syst Developmnt Initiatv,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Refunds of Expend-Current,Miscellaneous,777171.62,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1571107.38,Bld Permit Applicatn-Ed Fees,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,694103.7,Animal Population Control Acct,Special Revenue,Special Revenue
Revenue,2016,Taxes,Gas And Electric Company Tax,Public Service Corporations,66811800,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Fees-Inspection of Boilers,Licenses Permits and Fees,1335650.92,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Clinical Revenues,Sales of Commodities and Services,-269,Wrkrs Comp Loss Portfolio Prgm,Enterprise,Enterprise
Revenue,2016,Other Revenue,Refunds of Expend-Current,Miscellaneous,16697060,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,28567282,Enhanced 911 Telecomm Fund,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,5273667,Adult Basic Education,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Penalty-Broker/Invest/Adv,Rents Fines and Escheats,239028,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,84952,Animal Feed Regulatory Program,Special Revenue,Special Revenue
Revenue,2017,Taxes,Cig Distributor Tax-General,Cigarettes and Tobacco,346812735.76,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,89943,CT PRAMS Grant,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1688262,SSBG Substance Abuse Srvcs,Special Revenue,Special Revenue
Revenue,2016,Taxes,Sales/Use Tax-DMV,Sales and Use,87160728,Revenue Deposits,Transportation,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,13702812.25,Regional Green House Gas,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Refunds of Performance Fee,Refunds of Payments,-14602.08,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,679062,NICS Act Record Impr Prg NARIP,Special Revenue,Special Revenue
Revenue,2016,Other Source,Federal Aid - Miscellaneous,Federal Grants,3354902,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,33022.11,Museum Enhancement Fund,Special Revenue,Special Revenue
Revenue,2017,Other Source,Operating Transfers Out,Transfers Out,-7679927.78,Non-Budgeted Operating Approp,Fiduciary,Other Trust Funds
Revenue,2016,Other Revenue,Commission-Vending Machines,Sales of Commodities and Services,135,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Investment Interest,Investment Income,709,Sara Brown Fund,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,178,Civil Protection Orders,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Investment Interest,Investment Income,12,Charles Precourt Memorial Fund,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,179883,Congregte Housng Srvrs-Eastern,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,RF-Auction Sales - Equipment,Sales of Commodities and Services,1043,Non-Budgeted Operating Approp,Internal Service,Internal Service
Revenue,2017,Other Revenue,Licenses-Ground/Pesticides,Licenses Permits and Fees,754938.6,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Housing Loan Interest Income,Investment Income,11626.42,Spec Cntmntd Prprty Remdtn Fnd,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Oyster Grounds,Rents Fines and Escheats,536595,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Recoveries-Neg Settlements,Miscellaneous,159238.34,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,3091,Self-Determinations Conference,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Investment Interest,Investment Income,14047,Byrne (JAG) 2005,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Permit-Deal/Handle Explosives,Licenses Permits and Fees,36820,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Cottages or Residences,Rents Fines and Escheats,415727.62,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Refunds of Expend-Prior Years,Miscellaneous,63305,Drinking Water Revenue Bonds,Enterprise,Enterprise
Revenue,2016,Other Source,OSHA - On-Site Consultation,Federal Grants,596118,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Recoveries-Public Assistance,Miscellaneous,78443305.25,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Refunds of Processing Fee,Refunds of Payments,-457.63,Geo & Natrl Hist Sale & Pblctn,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1005113,RPOM - FMO - 484,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1326516,Title 1 - State Institutions,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,2155,Housng Opportunits-Persns/Aids,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1116584,ARNG Physical Security,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Private Donations,Miscellaneous,3500,Human Rights Educ. & Donation,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Fees-Background Checks,Licenses Permits and Fees,4089655,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,79877316.31,Pharmacy Partnership 2.0,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Other Fees-Clerical Services,Licenses Permits and Fees,1008.37,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,95177,CoC Rapid Rehousing Program,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Permits to Carry Pistols,Licenses Permits and Fees,3339036.72,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Other Licenses-Motor Veh/Boat,Licenses Permits and Fees,985,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Expenses Recovered-Hospitals,Miscellaneous,3133441.13,Revenue Deposits,General,General
Revenue,2016,Other Revenue,General Forfeitures,Rents Fines and Escheats,6068,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,25875,NEDTC Activity Account,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,16383412.25,ARRA HIT Incentive Payments,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,2067200,School Bus Seat Belt Account,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Fines & Penalties-Bad Checks,Rents Fines and Escheats,3042.12,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1102032,Inland Fisheries,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Other Fees-App/Exam/Qual,Licenses Permits and Fees,456570,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Clinical Revenues,Sales of Commodities and Services,356374133,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2016,Other Revenue,State Inst-Dining Room Srvc,Sales of Commodities and Services,5483,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Public Bus Transportation Rev,Sales of Commodities and Services,31232924,Public Bus Transport Revenue A,Special Revenue,Special Revenue
Revenue,2017,Other Source,Operating Transfers In,Transfers In,88930640.6,Conversion Value,General,General
Revenue,2017,Other Revenue,Rail Station Revenue,Sales of Commodities and Services,4907725.61,Rail Station Operations,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,396085,Nanoparticle Contamination,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,2640,Chatfield MU-MRI,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Fines and Costs-Departments,Licenses Permits and Fees,13921595,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1723799,Bld Permit Applicatn-Ed Fees,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,3672523,Unemployment Loan Inter Assess,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1183238,Mchale 900-249,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1080051.3,CT EVV IAPD,Special Revenue,Special Revenue
Revenue,2017,Other Source,Misc-Transfers In,Transfers In,650000,Revenue Deposits,General,General
Revenue,2017,Taxes,EFT Pending Distribution Tax,Miscellaneous,1310530.77,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Private Donations,Miscellaneous,250,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1494415.13,Pregnant & Parenting Teens,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,19628,Small Bus Admin - STEP Grant F,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,2637106,Farmland Preservation Reimb,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Photocopying,Licenses Permits and Fees,2414.46,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,52114006,Federal Transit Formual Grants,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Fish/Game Rcpt License-State,Licenses Permits and Fees,4880961.9,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Other Fees-Miscellaneous,Licenses Permits and Fees,10372674,Conversion Value,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,93158.4,State Syst Developmnt Initiatv,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,43470,Hazard Mitigation Admin Funds,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Investment Interest,Investment Income,45522.53,Client Security Fund,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,10275606,CIF GO BONDS 2015 E,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,116254,SCIP Data Sharing Prog FFY15,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Investment Interest,Investment Income,323,Financial Literacy - MDI,Special Revenue,Special Revenue
Revenue,2017,Other Source,Operating Transfers Out,Transfers Out,-500000,DEP Admin. -MRI,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,214033.85,Prot & Advocacy Indiv Rights,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1204647.05,Consumer Protectn Enfrcmt Acct,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Other Fees-Tech and Skilled,Licenses Permits and Fees,642631,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Recoveries-General,Miscellaneous,71560783,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Refunds of Processing Fee,Refunds of Payments,-2071427.45,Revenue Deposits,Transportation,Special Revenue
Revenue,2017,Other Revenue,Private Donations,Miscellaneous,2505,Non-Budgeted Operating Approp,Fiduciary,Other Trust Funds
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,3578,MFRPS FDA AWARD,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,112179.76,CONNDOT Radio Project,Special Revenue,Special Revenue
Revenue,2017,Other Source,Bond Proceeds,Sale of Bonds,691576671.62,Conversion Value,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,46397.75,Military Family Relief Fund,Special Revenue,Special Revenue
Revenue,2016,Taxes,Income Tax Refunds,Refunds of Taxes,4287,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,2704965.98,Bioterrorsm Hosptl Prepardnss,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Refunds of Expend-Current,Miscellaneous,677665,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,976508.97,Boating Access Areas,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,268307,Unvrsl Newbrn Hearing Screenng,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,49329,Fire Sch Train & Ed Extension,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Steamfitter Licenses,Licenses Permits and Fees,1623871,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Sundry Services-Miscellaneous,Sales of Commodities and Services,1054514.78,Voc Educ Industrial Account,Enterprise,Enterprise
Revenue,2017,Other Revenue,Small Loan Brokers Licenses,Licenses Permits and Fees,13600,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,129715,Community Invest Act-Admin,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Recoveries-General,Licenses Permits and Fees,1692621.28,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,27215,Ebola Active Monitoring,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Municipal Probate Retirement,Miscellaneous,2016071,Municipal Emps Retirement Admn,Special Revenue,Special Revenue
Revenue,2016,Other Source,Workforce Investment Act-DOL,Federal Grants,31554814,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Insurance Agent Licenses,Licenses Permits and Fees,6572295.4,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,625425,Ignition Interlock Admin Acct,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Fees-Filing-Relocation/Branch,Licenses Permits and Fees,2000,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,18968.78,Vending Operators Fringe Bens,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Sale of Property,Miscellaneous,22970,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2017,Other Source,Operating Transfers Out,Transfers Out,-350000,Wag & Wkplac Std Civ Penlty Fd,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Workforce Investment Act-DOL,Federal Grants,2600202.79,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2017,Other Source,Operating Transfers Out,Transfers Out,-2865000,School Bus Seat Belt Account,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Investment Interest,Investment Income,373581,Revenue Deposits,General,General
Revenue,2016,Taxes,Cig Distributor Tax - Floor,Cigarettes and Tobacco,1417243,Revenue Deposits,General,General
